이름,국어,영어,수학,과학
학생263,63,60,31,70
학생264,54,50,23,88
학생265,64,54,73,83
학생266,89,36,63,14
학생267,83,26,81,98
학생268,18,51,17,6
학생269,37,27,97,62
학생270,70,20,63,0
학생271,85,98,24,53
학생272,94,77,76,99
학생273,96,39,77,12
학생274,46,56,39,24
학생275,70,41,86,93
학생276,20,88,73,46
학생277,63,60,55,70
학생278,21,50,55,88
학생279,98,90,88,64
학생280,88,90,62,72
학생281,46,56,39,24
학생282,70,41,86,93
학생283,20,88,73,46
학생284,63,60,55,70
학생285,21,50,55,88
학생286,98,90,88,64
학생287,88,90,62,72
학생288,92,70,75,85
학생289,63,60,31,70
학생290,54,50,23,88
학생291,64,54,73,83
학생292,89,36,63,14
학생293,83,26,81,98
학생294,18,51,17,6
학생295,46,56,39,24
학생296,70,41,86,93
학생297,20,88,73,46
학생298,63,60,55,70
학생299,21,50,55,88
학생300,98,90,88,64
학생301,88,90,62,72
학생302,92,70,75,85
학생303,63,60,31,70
학생304,54,50,23,88
학생305,46,56,39,24
학생306,70,41,86,93
학생307,20,88,73,46
학생308,63,60,55,70
학생309,21,50,55,88
학생310,98,90,88,64
학생311,88,90,62,72
학생312,46,56,39,24
학생313,70,41,86,93
학생314,20,88,73,46
학생315,63,60,55,70
학생316,21,50,55,88
학생317,98,90,88,64
학생318,88,90,62,72
학생319,92,70,75,85
학생320,63,60,31,70
학생321,54,50,23,88
학생322,64,54,73,83
학생323,46,56,39,24
학생324,70,41,86,93
학생325,20,88,73,46
학생326,63,60,55,70
학생327,21,50,55,88
학생328,98,90,88,64
학생329,88,90,62,72
학생330,92,70,75,85
학생331,63,60,31,70
학생332,54,50,23,88
학생333,46,56,39,24
학생334,70,41,86,93
학생335,20,88,73,46
학생336,46,56,39,24
학생337,70,41,86,93
학생338,46,56,39,24
학생339,70,41,86,93
학생340,20,88,73,46
학생341,63,60,55,70
학생342,21,50,55,88
학생343,98,90,88,64
학생344,88,90,62,72
학생345,92,70,75,85
학생346,63,60,31,70
학생347,54,50,23,88
학생348,64,54,73,83
학생349,89,36,63,14
학생350,83,26,81,98
학생351,18,51,17,6
학생352,85,37,23,49
학생353,90,93,65,30
학생354,71,83,15,11
학생355,94,6,28,69
학생356,85,88,60,17
학생357,32,59,16,31
학생358,59,64,40,72
학생359,85,73,51,6
학생360,20,36,26,73
학생361,46,56,39,24
학생362,70,41,86,93
학생363,20,88,73,46
학생364,63,60,55,70
학생365,21,50,55,88
학생366,98,90,88,64
학생367,88,90,62,72
학생368,92,70,75,85
학생369,63,60,31,70
학생370,54,50,23,88
학생371,64,54,73,83
학생372,89,36,63,14
학생373,83,26,81,98
학생374,18,51,17,6
학생375,23,61,24,30
학생376,53,60,20,39
학생377,46,56,39,24
학생378,70,41,86,93
학생379,20,88,73,46
학생380,63,60,55,70
학생381,21,50,55,88
학생382,98,90,88,64
학생383,88,90,62,72
학생384,92,70,75,85
학생385,63,60,31,70
학생386,54,50,23,88
학생387,64,54,73,83
학생388,89,36,63,14
학생389,83,26,81,98
학생390,18,51,17,6
학생391,54,50,23,88
학생392,64,54,73,83
학생393,89,36,63,14
학생394,83,26,81,98
학생395,18,51,17,6
학생396,71,84,33,34
학생397,64,3,39,18
학생398,46,43,49,2
학생399,36,72,84,28
학생400,83,57,67,33
학생401,33,19,69,65
학생402,46,56,39,24
학생403,70,41,86,93
학생404,20,88,73,46
학생405,63,60,55,70
학생406,21,50,55,88
학생407,98,90,88,64
학생408,88,90,62,72
학생409,92,70,75,85
학생410,63,60,31,70
학생411,54,50,23,88
학생412,64,54,73,83
학생413,89,36,63,14
학생414,83,26,81,98
학생415,18,51,17,6
학생416,46,56,39,24
학생417,70,41,86,93
학생418,20,88,73,46
학생419,63,60,55,70
학생420,21,50,55,88
학생421,98,90,88,64
학생422,88,90,62,72
학생423,46,56,39,24
학생424,70,41,86,93
학생425,20,88,73,46
학생426,63,60,55,70
학생427,21,50,55,88
학생428,98,90,88,64
학생429,88,90,62,72
학생430,92,70,75,85
학생431,63,60,31,70
학생432,54,50,23,88
학생433,64,54,73,83
학생434,89,36,63,14
학생435,83,26,81,98
학생436,18,51,17,6
학생437,46,56,39,24
학생438,70,41,86,93
학생439,20,88,73,46
학생440,63,60,55,70
학생441,21,50,55,88
학생442,98,90,88,64
학생443,88,90,62,72
학생444,92,70,75,85
학생445,63,60,31,70
학생446,54,50,23,88
학생447,64,54,73,83
학생448,89,36,63,14
학생449,83,26,81,98
학생450,18,51,17,6
학생451,69,66,39,59
학생452,25,19,37,45
학생453,21,82,20,20
학생454,7,11,57,74
학생455,23,32,52,99
학생456,97,87,30,66
학생457,53,32,23,28
학생458,14,45,73,30
학생459,12,52,44,37
학생460,46,56,39,24
학생461,70,41,86,93
학생462,20,88,73,46
학생463,63,60,55,70
학생464,21,50,55,88
학생465,98,90,88,64
학생466,88,90,62,72
학생467,92,70,75,85
학생468,63,60,31,70
학생469,54,50,23,88
학생470,64,54,73,83
학생471,89,36,63,14
학생472,83,26,81,98
학생473,18,51,17,6
학생474,75,38,94,50
학생475,58,74,56,27
학생476,52,86,55,51
학생477,62,24,72,24
학생478,71,21,21,89
학생479,95,67,17,86
학생480,62,71,88,95
학생481,46,56,39,24
학생482,70,41,86,93
학생483,20,88,73,46
학생484,63,60,55,70
학생485,21,50,55,88
학생486,98,90,88,64
학생487,46,56,39,24
학생488,70,41,86,93
학생489,20,88,73,46
학생490,63,60,55,70
학생491,21,50,55,88
학생492,98,90,88,64
학생493,88,90,62,72
학생494,92,70,75,85
학생495,63,60,31,70
학생496,54,50,23,88
학생497,64,54,73,83
학생498,89,36,63,14
학생499,83,26,81,98
학생500,18,51,17,6
학생501,98,,88,64
학생502,88,90,62,72
학생503,92,70,,
학생504,63,60,31,70
학생505,100,50,,88
학생506,98,,88,64
학생507,88,90,62,72
학생508,92,70,,
학생509,63,60,31,70
학생510,100,50,,88
학생511,56,49,90,44
학생512,34,28,16,0
학생513,37,13,9,41
학생514,14,17,21,77
학생515,37,20,3,77
학생516,19,97,28,77
학생517,57,85,33,84
학생518,10,21,67,54
학생519,79,74,14,59
학생520,96,67,66,48
학생521,46,25,54,56
학생522,66,32,77,24
학생523,46,25,2,12
학생524,26,10,49,74
학생525,97,68,65,33
학생526,86,70,99,45
학생527,31,62,37,82
학생528,43,88,11,56
학생529,6,98,96,74
학생530,41,75,8,22
학생531,29,45,94,70
학생532,83,84,32,91
학생533,91,1,53,32
학생534,89,59,10,29
학생535,84,58,70,25
학생536,96,95,10,4
학생537,83,7,64,9
학생538,67,38,63,26
학생539,50,72,14,86
학생540,60,28,49,59
학생541,71,11,49,62
학생542,32,63,31,96
학생543,72,6,73,22
학생544,29,93,2,85
학생545,,56,64,24
학생546,98,,88,64
학생547,88,90,62,72
학생548,92,70,,
학생549,63,60,31,70
학생550,21,50,,88
학생551,98,,88,64
학생552,88,90,62,72
학생553,92,70,,
학생554,63,60,31,70
학생555,54,50,,88
학생556,64,3,73,83
학생557,78,58,20,47
학생558,13,82,57,1
학생559,4,11,81,76
학생560,3,25,26,67
학생561,96,78,1,6
학생562,78,31,70,91
학생563,4,63,59,23
학생564,29,67,49,28
학생565,93,56,63,55
학생566,57,65,12,47
학생567,20,74,56,17
학생568,6,61,0,20
학생569,3,11,83,45
학생570,4,82,88,69
학생571,62,5,92,67
학생572,4,12,73,73
학생573,84,58,70,25
학생574,96,95,10,4
학생575,83,7,64,9
학생576,67,38,63,26
학생577,50,72,14,86
학생578,60,28,49,59
학생579,71,11,49,62
학생580,32,63,31,96
학생581,72,6,73,22
학생582,29,93,2,85
학생583,,56,64,24
학생584,98,,88,64
학생585,88,90,62,72
학생586,92,70,,
학생587,63,60,31,70
학생588,21,50,,88
학생589,98,,88,64
학생590,88,90,62,72
학생591,92,70,,
학생592,63,60,31,70
학생593,54,50,,88
학생594,64,3,73,83
학생595,83,91,32,99
학생596,5,55,11,65
학생597,7,40,10,3
학생598,55,46,74,35
학생599,97,70,20,27
학생600,92,61,42,88
학생601,16,10,41,55
학생602,47,33,64,65
학생603,14,40,90,41
학생604,3,74,48,49
학생605,52,64,68,85
학생606,26,87,93,36
학생607,30,51,30,62
학생608,72,44,80,13
학생609,35,49,30,41
학생610,52,60,1,14
학생611,12,65,86,76
학생612,79,21,11,41
학생613,13,33,72,92
학생614,57,68,33,33
학생615,48,44,37,83
학생616,66,88,81,66
학생617,44,15,44,46
학생618,99,2,96,90
학생619,57,4,12,85
학생620,4,77,57,83
학생621,74,23,52,64
학생622,84,58,70,25
학생623,96,95,10,4
학생624,83,7,64,9
학생625,67,38,63,26
학생626,50,72,14,86
학생627,60,28,49,59
학생628,71,11,49,62
학생629,32,63,31,96
학생630,72,6,73,22
학생631,29,93,2,85
학생632,,56,64,24
학생633,98,,88,64
학생634,88,90,62,72
학생635,92,70,55,
학생636,63,60,55,70
학생637,21,50,55,88
학생638,98,,88,64
학생639,88,90,62,72
학생640,92,70,75,85
학생641,63,60,31,70
학생642,54,50,23,88
학생643,64,54,73,83
학생644,89,36,63,14
학생645,83,26,81,98
학생646,18,51,17,6
학생647,63,60,55,70
학생648,21,50,55,88
학생649,98,,88,64
학생650,88,90,62,72
학생651,92,70,75,85
학생652,63,60,31,70
학생653,54,50,23,88
학생654,64,54,73,83
학생655,89,36,63,14
학생656,83,26,81,98
학생657,18,51,17,6
학생658,33,95,77,95
학생659,86,34,31,18
학생660,61,31,97,69
학생661,79,87,93,86
학생662,68,75,10,58
학생663,36,59,90,54
학생664,55,25,13,30
학생665,63,60,55,70
학생666,21,50,55,88
학생667,98,,88,64
학생668,88,90,62,72
학생669,92,70,75,85
학생670,63,60,31,70
학생671,54,50,23,88
학생672,64,54,73,83
학생673,89,36,63,14
학생674,83,26,81,98
학생675,18,51,17,6
학생676,73,89,73,78
학생677,45,11,99,81
학생678,88,10,87,7
학생679,10,67,56,93
학생680,97,82,93,67
학생681,4,86,62,94
학생682,72,47,72,89
학생683,13,56,64,34
학생684,46,56,39,24
학생685,70,41,86,93
학생686,20,88,73,46
학생687,63,60,55,70
학생688,21,50,55,88
학생689,98,90,88,64
학생690,88,90,62,72
학생691,92,70,75,85
학생692,63,60,31,70
학생693,54,50,23,88
학생694,64,54,73,83
학생695,89,36,63,14
학생696,83,26,81,98
학생697,18,51,17,6
학생698,74,85,95,70
학생699,46,56,39,24
학생700,70,41,86,93
학생701,20,88,73,46
학생702,63,60,55,70
학생703,21,50,55,88
학생704,98,90,88,64
학생705,88,90,62,72
학생706,92,70,75,85
학생707,63,60,31,70
학생708,54,50,23,88
학생709,64,54,73,83
학생710,89,36,63,14
학생711,83,26,81,98
학생712,18,51,17,6
학생713,42,92,61,10
학생714,46,56,39,24
학생715,70,41,86,93
학생716,20,88,73,46
학생717,63,60,55,70
학생718,21,50,55,88
학생719,98,90,88,64
학생720,88,90,62,72
학생721,92,70,75,85
학생722,63,60,31,70
학생723,54,50,23,88
학생724,64,54,73,83
학생725,89,36,63,14
학생726,83,26,81,98
학생727,18,51,17,6
학생728,62,69,84,80
학생729,54,34,56,46
학생730,40,67,26,96
학생731,55,85,46,81
학생732,35,53,86,12
학생733,42,59,79,10
학생734,20,83,28,69
학생735,14,53,19,32
학생736,77,75,75,98
학생737,45,30,62,89
학생738,69,47,71,90
학생739,51,57,16,0
학생740,28,69,8,6
학생741,55,46,97,73
학생742,52,79,44,16
학생743,33,62,83,0
학생744,79,12,53,43
학생745,55,56,92,40
학생746,46,56,39,24
학생747,70,41,86,93
학생748,20,88,73,46
학생749,63,60,55,70
학생750,21,50,55,88
학생751,98,90,88,64
학생752,88,90,62,72
학생753,92,70,75,85
학생754,63,60,31,70
학생755,54,50,23,88
학생756,64,54,73,83
학생757,89,36,63,14
학생758,83,26,81,98
학생759,18,51,17,6
학생760,46,56,39,24
학생761,70,41,86,93
학생762,20,88,73,46
학생763,63,60,55,70
학생764,21,50,55,88
학생765,98,90,88,64
학생766,88,90,62,72
학생767,92,70,75,85
학생768,63,60,31,70
학생769,54,50,23,88
학생770,64,54,73,83
학생771,89,36,63,14
학생772,83,26,81,98
학생773,18,51,17,6
학생774,37,27,97,62
학생775,70,20,63,0
학생776,85,98,24,53
학생777,94,77,76,99
학생778,96,39,77,12
학생779,46,56,39,24
학생780,70,41,86,93
학생781,20,88,73,46
학생782,63,60,55,70
학생783,21,50,55,88
학생784,98,90,88,64
학생785,88,90,62,72
학생786,46,56,39,24
학생787,70,41,86,93
학생788,20,88,73,46
학생789,63,60,55,70
학생790,21,50,55,88
학생791,98,90,88,64
학생792,88,90,62,72
학생793,92,70,75,85
학생794,63,60,31,70
학생795,54,50,23,88
학생796,64,54,73,83
학생797,89,36,63,14
학생798,83,26,81,98
학생799,18,51,17,6
학생800,46,56,39,24
학생801,70,41,86,93
학생802,20,88,73,46
학생803,63,60,55,70
학생804,21,50,55,88
학생805,98,90,88,64
학생806,88,90,62,72
학생807,92,70,75,85
학생808,63,60,31,70
학생809,54,50,23,88
학생810,46,56,39,24
학생811,70,41,86,93
학생812,20,88,73,46
학생813,63,60,55,70
학생814,21,50,55,88
학생815,98,90,88,64
학생816,88,90,62,72
학생817,46,56,39,24
학생818,70,41,86,93
학생819,20,88,73,46
학생820,63,60,55,70
학생821,21,50,55,88
학생822,98,90,88,64
학생823,88,90,62,72
학생824,92,70,75,85
학생825,63,60,31,70
학생826,54,50,23,88
학생827,64,54,73,83
학생828,46,56,39,24
학생829,70,41,86,93
학생830,20,88,73,46
학생831,63,60,55,70
학생832,21,50,55,88
학생833,98,90,88,64
학생834,88,90,62,72
학생835,92,70,75,85
학생836,63,60,31,70
학생837,54,50,23,88
학생838,46,56,39,24
학생839,70,41,86,93
학생840,20,88,73,46
학생841,46,56,39,24
학생842,70,41,86,93
학생843,46,56,39,24
학생844,70,41,86,93
학생845,20,88,73,46
학생846,63,60,55,70
학생847,21,50,55,88
학생848,98,90,88,64
학생849,88,90,62,72
학생850,92,70,75,85
학생851,63,60,31,70
학생852,54,50,23,88
학생853,64,54,73,83
학생854,89,36,63,14
학생855,83,26,81,98
학생856,18,51,17,6
학생857,85,37,23,49
학생858,90,93,65,30
학생859,71,83,15,11
학생860,94,6,28,69
학생861,85,88,60,17
학생862,32,59,16,31
학생863,59,64,40,72
학생864,85,73,51,6
학생865,20,36,26,73
학생866,46,56,39,24
학생867,70,41,86,93
학생868,20,88,73,46
학생869,63,60,55,70
학생870,21,50,55,88
학생871,98,90,88,64
학생872,88,90,62,72
학생873,92,70,75,85
학생874,63,60,31,70
학생875,54,50,23,88
학생876,64,54,73,83
학생877,89,36,63,14
학생878,83,26,81,98
학생879,18,51,17,6
학생880,23,61,24,30
학생881,53,60,20,39
학생882,46,56,39,24
학생883,70,41,86,93
학생884,20,88,73,46
학생885,63,60,55,70
학생886,21,50,55,88
학생887,98,90,88,64
학생888,88,90,62,72
학생889,92,70,75,85
학생890,63,60,31,70
학생891,54,50,23,88
학생892,64,54,73,83
학생893,89,36,63,14
학생894,83,26,81,98
학생895,18,51,17,6
학생896,54,50,23,88
학생897,64,54,73,83
학생898,89,36,63,14
학생899,83,26,81,98
학생900,18,51,17,6
학생901,71,84,33,34
학생902,64,3,39,18
학생903,46,43,49,2
학생904,36,72,84,28
학생905,83,57,67,33
학생906,33,19,69,65
학생907,46,56,39,24
학생908,70,41,86,93
학생909,20,88,73,46
학생910,63,60,55,70
학생911,21,50,55,88
학생912,98,90,88,64
학생913,88,90,62,72
학생914,92,70,75,85
학생915,63,60,31,70
학생916,54,50,23,88
학생917,64,54,73,83
학생918,89,36,63,14
학생919,83,26,81,98
학생920,18,51,17,6
학생921,46,56,39,24
학생922,70,41,86,93
학생923,20,88,73,46
학생924,63,60,55,70
학생925,21,50,55,88
학생926,98,90,88,64
학생927,88,90,62,72
학생928,46,56,39,24
학생929,70,41,86,93
학생930,20,88,73,46
학생931,63,60,55,70
학생932,21,50,55,88
학생933,98,90,88,64
학생934,88,90,62,72
학생935,92,70,75,85
학생936,63,60,31,70
학생937,54,50,23,88
학생938,64,54,73,83
학생939,89,36,63,14
학생940,83,26,81,98
학생941,18,51,17,6
학생942,46,56,39,24
학생943,70,41,86,93
학생944,20,88,73,46
학생945,63,60,55,70
학생946,21,50,55,88
학생947,98,90,88,64
학생948,88,90,62,72
학생949,92,70,75,85
학생950,63,60,31,70
학생951,54,50,23,88
학생952,64,54,73,83
학생953,89,36,63,14
학생954,83,26,81,98
학생955,18,51,17,6
학생956,69,66,39,59
학생957,25,19,37,45
학생958,21,82,20,20
학생959,7,11,57,74
학생960,23,32,52,99
학생961,97,87,30,66
학생962,53,32,23,28
학생963,14,45,73,30
학생964,12,52,44,37
학생965,46,56,39,24
학생966,70,41,86,93
학생967,20,88,73,46
학생968,63,60,55,70
학생969,21,50,55,88
학생970,98,90,88,64
학생971,88,90,62,72
학생972,92,70,75,85
학생973,63,60,31,70
학생974,54,50,23,88
학생975,64,54,73,83
학생976,89,36,63,14
학생977,83,26,81,98
학생978,18,51,17,6
학생979,75,38,94,50
학생980,58,74,56,27
학생981,52,86,55,51
학생982,62,24,72,24
학생983,71,21,21,89
학생984,95,67,17,86
학생985,62,71,88,95
학생986,46,56,39,24
학생987,70,41,86,93
학생988,20,88,73,46
학생989,63,60,55,70
학생990,21,50,55,88
학생991,98,90,88,64
학생992,46,56,39,24
학생993,70,41,86,93
학생994,20,88,73,46
학생995,63,60,55,70
학생996,21,50,55,88
학생997,98,90,88,64
학생998,88,90,62,72
학생999,92,70,75,85
학생1000,63,60,31,70
학생1001,54,50,23,88
학생1002,64,54,73,83
학생1003,89,36,63,14
학생1004,83,26,81,98
학생1005,18,51,17,6
학생1006,98,,88,64
학생1007,88,90,62,72
학생1008,92,70,,
학생1009,63,60,31,70
학생1010,100,50,,88
학생1011,98,,88,64
학생1012,88,90,62,72
학생1013,92,70,,
학생1014,63,60,31,70
학생1015,100,50,,88
학생1016,56,49,90,44
학생1017,34,28,16,0
학생1018,37,13,9,41
학생1019,14,17,21,77
학생1020,37,20,3,77
학생1021,19,97,28,77
학생1022,57,85,33,84
학생1023,10,21,67,54
학생1024,79,74,14,59
학생1025,96,67,66,48
학생1026,46,25,54,56
학생1027,66,32,77,24
학생1028,46,25,2,12
학생1029,26,10,49,74
학생1030,97,68,65,33
학생1031,86,70,99,45
학생1032,31,62,37,82
학생1033,43,88,11,56
학생1034,6,98,96,74
학생1035,41,75,8,22
학생1036,29,45,94,70
학생1037,83,84,32,91
학생1038,91,1,53,32
학생1039,89,59,10,29
학생1040,84,58,70,25
학생1041,96,95,10,4
학생1042,83,7,64,9
학생1043,67,38,63,26
학생1044,50,72,14,86
학생1045,60,28,49,59
학생1046,71,11,49,62
학생1047,32,63,31,96
학생1048,72,6,73,22
학생1049,29,93,2,85
학생1050,,56,64,24
학생1051,98,,88,64
학생1052,88,90,62,72
학생1053,92,70,,
학생1054,63,60,31,70
학생1055,21,50,,88
학생1056,98,,88,64
학생1057,88,90,62,72
학생1058,92,70,,
학생1059,63,60,31,70
학생1060,54,50,,88
학생1061,64,3,73,83
학생1062,78,58,20,47
학생1063,13,82,57,1
학생1064,4,11,81,76
학생1065,3,25,26,67
학생1066,96,78,1,6
학생1067,78,31,70,91
학생1068,4,63,59,23
학생1069,29,67,49,28
학생1070,93,56,63,55
학생1071,57,65,12,47
학생1072,20,74,56,17
학생1073,6,61,0,20
학생1074,3,11,83,45
학생1075,4,82,88,69
학생1076,62,5,92,67
학생1077,4,12,73,73
학생1078,84,58,70,25
학생1079,96,95,10,4
학생1080,83,7,64,9
학생1081,67,38,63,26
학생1082,50,72,14,86
학생1083,60,28,49,59
학생1084,71,11,49,62
학생1085,32,63,31,96
학생1086,72,6,73,22
학생1087,29,93,2,85
학생1088,,56,64,24
학생1089,98,,88,64
학생1090,88,90,62,72
학생1091,92,70,,
학생1092,63,60,31,70
학생1093,21,50,,88
학생1094,98,,88,64
학생1095,88,90,62,72
학생1096,92,70,,
학생1097,63,60,31,70
학생1098,54,50,,88
학생1099,64,3,73,83
학생1100,83,91,32,99
학생1101,5,55,11,65
학생1102,7,40,10,3
학생1103,55,46,74,35
학생1104,97,70,20,27
학생1105,92,61,42,88
학생1106,16,10,41,55
학생1107,47,33,64,65
학생1108,14,40,90,41
학생1109,3,74,48,49
학생1110,52,64,68,85
학생1111,26,87,93,36
학생1112,30,51,30,62
학생1113,72,44,80,13
학생1114,35,49,30,41
학생1115,52,60,1,14
학생1116,12,65,86,76
학생1117,79,21,11,41
학생1118,13,33,72,92
학생1119,57,68,33,33
학생1120,48,44,37,83
학생1121,66,88,81,66
학생1122,44,15,44,46
학생1123,99,2,96,90
학생1124,57,4,12,85
학생1125,4,77,57,83
학생1126,74,23,52,64
학생1127,84,58,70,25
학생1128,96,95,10,4
학생1129,83,7,64,9
학생1130,67,38,63,26
학생1131,50,72,14,86
학생1132,60,28,49,59
학생1133,71,11,49,62
학생1134,32,63,31,96
학생1135,72,6,73,22
학생1136,29,93,2,85
학생1137,,56,64,24
학생1138,98,,88,64
학생1139,88,90,62,72
학생1140,92,70,55,
학생1141,63,60,55,70
학생1142,21,50,55,88
학생1143,98,,88,64
학생1144,88,90,62,72
학생1145,92,70,75,85
학생1146,63,60,31,70
학생1147,54,50,23,88
학생1148,64,54,73,83
학생1149,89,36,63,14
학생1150,83,26,81,98
학생1151,18,51,17,6
학생1152,63,60,55,70
학생1153,21,50,55,88
학생1154,98,,88,64
학생1155,88,90,62,72
학생1156,92,70,75,85
학생1157,63,60,31,70
학생1158,54,50,23,88
